Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19742521,Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,"=""0140444491""","=""9780140444490""",5,4.00,Penguin Classics,Paperback,166,1985,1843,2014/01/01,2022/10/01,"books-i-own, paperback, english","books-i-own (#377), paperback (#362), english (#64)",read,,,,1,0
529326,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0679724656""","=""9780679724650""",4,4.03,Vintage,Paperback,257,1989,1886,2014/01/01,2022/10/01,"paperback, books-i-own, english","paperback (#366), books-i-own (#381), english (#62)",read,,,,1,0
56299631,Love Phobia,Hannah Cuppen,"Cuppen, Hannah",,"=""9020217127""","=""9789020217124""",5,3.88,AnkhHermes,Paperback,208,2021,2014,2021/04/12,2022/10/01,"paperback, books-i-own, english","paperback (#368), books-i-own (#534), english (#61)",read,,,,1,0
3316807,"Tarnsman of Gor (Gor, #1)",John  Norman,"Norman, John",,"=""0345275837""","=""9780345275837""",3,3.45,Del Rey,Mass Market Paperback,224,1978,1967,2019/07/01,2022/10/01,"paperback, books-i-own, english","paperback (#385), books-i-own (#533), english (#56)",read,,,,1,0
17717,Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,"Borges, Jorge Luis","André Maurois, James E. Irby, Donald A. Yates","=""0811200124""","=""9780811200127""",5,4.45,New Directions,Paperback,260,1964,1962,2021/12/20,2021/12/20,"books-i-own, paperback, english","books-i-own (#55), paperback (#396), english (#53)",read,,,,1,0
2834882,De rode kamer,August Strindberg,"Strindberg, August","Egil Törnqvist, Rolandt Tweehuysen","=""""","=""""",3,3.24,Meulenhoff,Paperback,311,1980,1879,2022/08/18,2022/10/01,"paperback, books-i-own, dutch","paperback (#400), books-i-own (#532), dutch (#19)",read,,,,1,0
428184,Animals and Psychedelics: The Natural World and the Instinct to Alter Consciousness,Giorgio Samorini,"Samorini, Giorgio",Rob Montgomery,"=""0892819863""","=""9780892819867""",3,3.79,Park Street Press,Paperback,112,2002,2000,2013/07/22,2022/10/01,"books-i-own, paperback, english","books-i-own (#414), paperback (#402), english (#51)",read,,,,1,0
17452135,Words of Advice Regarding Da'wah from the Noble Shaykh,عبد العزيز عبد الله بن باز,"باز, عبد العزيز عبد الله بن","Abdul-Aziz Bin Abdullah Bin Baz, Ziyaad ibn Muhammad as-Sadoon, Bint Feroz Deen, Bint Abd al-Ghafoor","=""1898649286""","=""9781898649281""",2,4.57,Al-Hidaayah Publishing & Distribution Ltd.,Paperback,116,1998,1998,2018/01/01,2022/10/01,"books-i-own, paperback, english","books-i-own (#416), paperback (#404), english (#49)",read,,,,1,0
35397743,The Shape Of Things To Come (S.F. MASTERWORKS),H.G. Wells,"Wells, H.G.",,"=""147322165X""","=""9781473221659""",3,3.55,Gollancz,Paperback,424,2017,1933,2018/01/01,2022/10/01,"books-i-own, paperback, english","books-i-own (#421), paperback (#407), english (#47)",read,,,,1,0
3312298,The Arabian Nights,Anonymous,"Anonymous, Anonymous","Husain Haddawy, Muhsin Mahdi","=""0393331660""","=""9780393331660""",3,4.03,W. W. Norton & Company,Paperback,518,2008,800,2018/01/01,2022/10/01,"books-i-own, paperback, english","books-i-own (#425), paperback (#410), english (#46)",read,,,,1,0
16097519,The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,Bronnie Ware,"Ware, Bronnie",,"=""1848509995""","=""9781848509993""",4,3.77,Hay House,Paperback,244,2011,2011,2013/07/27,2022/10/01,"books-i-own, paperback, english","books-i-own (#427), paperback (#412), english (#44)",read,,,,1,0
20868705,Het Oerdieet,Remko Kuipers,"Kuipers, Remko",,"=""""","=""9789035138155""",4,4.22,Prometheus Bert Bakker,Paperback,405,2014,2014,2013/09/20,2022/10/01,"books-i-own, paperback, dutch","books-i-own (#430), paperback (#414), dutch (#18)",read,,,,1,0
57018068,Ik ga leven,Lale Gül,"Gül, Lale",,"=""9044646877""","=""9789044646870""",3,3.42,Prometheus,Paperback,348,2021,2021,2021/06/21,2021/06/21,"books-i-own, paperback, dutch","books-i-own (#17), paperback (#415), dutch (#17)",read,,,,1,0
26147,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.",,"=""1844132390""","=""9781844132393""",4,4.38,Rider,Paperback,156,2004,1946,2013/08/27,2022/10/01,"books-i-own, paperback, english","books-i-own (#431), paperback (#416), english (#43)",read,,,,1,0
42260858,Foucault in California [A True Story—Wherein the Great French Philosopher Drops Acid in the Valley of Death],Simeon Wade,"Wade, Simeon",Heather Dundas,"=""1597144630""","=""9781597144636""",2,3.44,Heyday,Hardcover,144,2019,2019,2019/06/10,2019/06/10,"books-i-own, hardcover, english","books-i-own (#14), hardcover (#50), english (#42)",read,,,,1,0
6380125,Personality Psychology: Domains of Knowledge about Human Nature,Randy J. Larsen,"Larsen, Randy J.",,"=""0070164991""","=""9780070164994""",3,3.73,McGraw-Hill Higher Education,Paperback,724,2009,2001,2010/01/01,2022/10/01,"books-i-own, paperback, english","books-i-own (#438), paperback (#423), english (#41)",read,,,,1,0
198405,The Anthropology of Globalization: A Reader,Jonathan Xavier Inda,"Inda, Jonathan Xavier",Renato Rosaldo,"=""140513612X""","=""9781405136129""",3,3.86,Wiley-Blackwell,Paperback,496,2007,2001,2011/01/01,2022/10/01,"books-i-own, paperback, dutch","books-i-own (#440), paperback (#425), dutch (#14)",read,,,,1,0
11707084,"Mondialisering, Migratie en Multiculturaliteit (Antropologische Vergezichten)",Yvon van der Pijl,"Pijl, Yvon van der",,"=""9052603391""","=""9789052603391""",2,3.00,,,,2009,2009,2009/01/01,2022/10/01,"books-i-own, paperback, dutch","books-i-own (#447), paperback (#431), dutch (#9)",read,,,,1,0
3399467,Four Major Plays: A Doll's House / Ghosts / Hedda Gabler / The Master Builder,Henrik Ibsen,"Ibsen, Henrik","James McFarlane, Jens Arup","=""0199536198""","=""9780199536191""",4,4.12,Oxford University Press,Paperback,384,2008,1879,2021/11/15,2022/10/01,"paperback, books-i-own, english","paperback (#435), books-i-own (#531), english (#37)",read,,,,1,0
